country1,ccode1,year,xr_gfd,xr_gfd_trade
Uruguay,165,1915,1.0822999,1.0822999
Uruguay,165,1916,1.0912,1.0912
Uruguay,165,1917,1.1427,1.1427
Uruguay,165,1918,1.2686,1.2686
Uruguay,165,1919,1.3480999,1.3480999
Uruguay,165,1920,1.6526,1.6526
Uruguay,165,1921,1.5115,1.5115
Uruguay,165,1922,1.2536,1.2536
Uruguay,165,1923,1.2603,1.2603
Uruguay,165,1924,1.2169,1.2169
Uruguay,165,1925,1.0141,1.0141
Uruguay,165,1926,.98580003,.98580003
Uruguay,165,1927,1.0015,1.0015
Uruguay,165,1928,.9777,.9777
Uruguay,165,1929,1.0157,1.0157
Uruguay,165,1930,1.173,1.173
Uruguay,165,1931,1.9152,1.9152
Uruguay,165,1932,2.1406,2.1406
Uruguay,165,1933,1.7443,1.7443
Uruguay,165,1934,1.2572,1.2572
Uruguay,165,1935,1.2477,1.2477
Uruguay,165,1936,1.2556,1.2556
Uruguay,165,1937,1.2661999,1.2661999
Uruguay,165,1938,1.556,1.556
Uruguay,165,1939,1.6652,1.6652
Uruguay,165,1940,1.5190001,1
Uruguay,165,1941,1.8913,1
Uruguay,165,1942,1.9,1
Uruguay,165,1943,1.9,1
Uruguay,165,1944,1.9,1
Uruguay,165,1945,1.9,1
Uruguay,165,1946,1.9,1
Uruguay,165,1947,1.9,1
Uruguay,165,1948,1.9,1
Uruguay,165,1949,1.9,1
Uruguay,165,1950,1.9,1.9
Uruguay,165,1951,2.2177999,2.2177999
Uruguay,165,1952,3.5379,3.5379
