country1,ccode1,year,xr_gfd,xr_gfd_trade
Nicaragua,93,1915,1,1
Nicaragua,93,1916,1,1
Nicaragua,93,1917,1,1
Nicaragua,93,1918,1,1
Nicaragua,93,1919,1,1
Nicaragua,93,1920,1,1
Nicaragua,93,1921,1,1
Nicaragua,93,1922,1,1
Nicaragua,93,1923,1,1
Nicaragua,93,1924,1,1
Nicaragua,93,1925,1,1
Nicaragua,93,1926,1,1
Nicaragua,93,1927,1,1
Nicaragua,93,1928,1,1
Nicaragua,93,1929,1,1
Nicaragua,93,1930,1,1
Nicaragua,93,1931,1,1
Nicaragua,93,1932,1,1
Nicaragua,93,1933,1,1
Nicaragua,93,1934,1.0132,1.0132
Nicaragua,93,1935,1.1,1.1
Nicaragua,93,1936,1.1,1.1
Nicaragua,93,1937,1.4492,1.4492
Nicaragua,93,1938,4.5756001,1
Nicaragua,93,1939,5,1
Nicaragua,93,1940,5,1
Nicaragua,93,1941,5,1
Nicaragua,93,1942,5,1
Nicaragua,93,1943,5,1
Nicaragua,93,1944,5,1
Nicaragua,93,1945,5,1
Nicaragua,93,1946,5,1
Nicaragua,93,1947,5,1
Nicaragua,93,1948,5,1
Nicaragua,93,1949,5.29,1
Nicaragua,93,1950,6.6774001,6.6774001
Nicaragua,93,1951,7.0953999,7.0953999
Nicaragua,93,1952,7.2670999,7.2670999
