country1,ccode1,year,xr_gfd,xr_gfd_trade
Dominican Republic,42,1915,5,5
Dominican Republic,42,1916,5,5
Dominican Republic,42,1917,5,5
Dominican Republic,42,1918,5,5
Dominican Republic,42,1919,5,5
Dominican Republic,42,1920,5,5
Dominican Republic,42,1921,5,5
Dominican Republic,42,1922,5,5
Dominican Republic,42,1923,5,5
Dominican Republic,42,1924,5,5
Dominican Republic,42,1925,5,5
Dominican Republic,42,1926,5,5
Dominican Republic,42,1927,5,5
Dominican Republic,42,1928,5,5
Dominican Republic,42,1929,5,5
Dominican Republic,42,1930,5,5
Dominican Republic,42,1931,5,5
Dominican Republic,42,1932,5,5
Dominican Republic,42,1933,5,5
Dominican Republic,42,1934,5,5
Dominican Republic,42,1935,5,5
Dominican Republic,42,1936,5,5
Dominican Republic,42,1937,5,5
Dominican Republic,42,1938,5,5
Dominican Republic,42,1939,5,5
Dominican Republic,42,1940,5,5
Dominican Republic,42,1941,5,5
Dominican Republic,42,1942,5,5
Dominican Republic,42,1943,5,5
Dominican Republic,42,1944,5,5
Dominican Republic,42,1945,5,5
Dominican Republic,42,1946,5,5
Dominican Republic,42,1947,1.4138,1.4138
Dominican Republic,42,1948,1,1
Dominican Republic,42,1949,1,1
Dominican Republic,42,1950,1,1
Dominican Republic,42,1951,1,1
Dominican Republic,42,1952,1,1
