country1,ccode1,year,xr_gfd,xr_gfd_trade
Guatemala,90,1924,1,1
Guatemala,90,1925,1,1
Guatemala,90,1926,1,1
Guatemala,90,1927,1,1
Guatemala,90,1928,1,1
Guatemala,90,1929,1,1
Guatemala,90,1930,1,1
Guatemala,90,1931,1,1
Guatemala,90,1932,1,1
Guatemala,90,1933,1,1
Guatemala,90,1934,1,1
Guatemala,90,1935,1,1
Guatemala,90,1936,1,1
Guatemala,90,1937,1,1
Guatemala,90,1938,1,1
Guatemala,90,1939,1,1
Guatemala,90,1940,1,1
Guatemala,90,1941,1,1
Guatemala,90,1942,1,1
Guatemala,90,1943,1,1
Guatemala,90,1944,1,1
Guatemala,90,1945,1,1
Guatemala,90,1946,1,1
Guatemala,90,1947,1,1
Guatemala,90,1948,1,1
Guatemala,90,1949,1,1
Guatemala,90,1950,1,1
Guatemala,90,1951,1,1
Guatemala,90,1952,1,1
