country1,ccode1,year,xr_gfd,xr_gfd_trade
Cuba,40,1915,1,1
Cuba,40,1916,1,1
Cuba,40,1917,1,1
Cuba,40,1918,1,1
Cuba,40,1919,1,1
Cuba,40,1920,1,1
Cuba,40,1921,1,1
Cuba,40,1922,1,1
Cuba,40,1923,1,1
Cuba,40,1924,1,1
Cuba,40,1925,1,1
Cuba,40,1926,1,1
Cuba,40,1927,1,1
Cuba,40,1928,1,1
Cuba,40,1929,1,1
Cuba,40,1930,1,1
Cuba,40,1931,1,1
Cuba,40,1932,1,1
Cuba,40,1933,1,1
Cuba,40,1934,1,1
Cuba,40,1935,1,1
Cuba,40,1936,1,1
Cuba,40,1937,1,1
Cuba,40,1938,1,1
Cuba,40,1939,1,1
Cuba,40,1940,1,1
Cuba,40,1941,1,1
Cuba,40,1942,1,1
Cuba,40,1943,1,1
Cuba,40,1944,1,1
Cuba,40,1945,1,1
Cuba,40,1946,1,1
Cuba,40,1947,1,1
Cuba,40,1948,1,1
Cuba,40,1949,1,1
Cuba,40,1950,1,1
Cuba,40,1951,1,1
Cuba,40,1952,1,1
